implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_ns_per_byte,median_ns_per_byte,mean_tsc_cycles_per_byte
Ratchet-CBC-BLAKE3,decrypt,4096,1048576,5,14817907.800,14795538.000,155936.971,67.485911,67.587944,57882.452,14.131458092,14.110124588,36.687544
Ratchet-CBC-BLAKE2s-256,encrypt,4096,1048576,5,33317942.600,33370559.000,265692.135,30.013858,29.966534,130148.213,31.774466133,31.824645042,82.491934
Ratchet-CBC-BLAKE2s-256,decrypt,4096,1048576,5,42317705.400,36603859.000,12631856.408,23.630771,27.319524,165303.537,40.357308769,34.908160210,104.773452
Ratchet-CBC-SHA3-256,encrypt,4096,1048576,5,47137213.400,47299550.000,565053.154,21.214661,21.141850,184129.740,44.953549767,45.108366013,116.706520
Ratchet-CBC-SHA3-256,decrypt,4096,1048576,5,49320943.800,49537904.000,1447286.885,20.275362,20.186563,192659.937,47.036117363,47.243026733,122.112546
Ratchet-CBC-SHA-256,encrypt,4096,1048576,5,27706841.200,27051857.000,1347098.434,36.092169,36.966039,108229.848,26.423302841,25.798661232,68.599240
Ratchet-CBC-SHA-256,decrypt,4096,1048576,5,28298428.000,28289525.000,401754.026,35.337652,35.348773,110540.734,26.987483978,26.978993416,70.063486
AES-ECB,encrypt,4096,33554432,5,33513282.600,32927450.000,2740743.009,954.845289,971.833531,4090.977,0.998773652,0.981314480,2.593003
AES-ECB,decrypt,4096,33554432,5,46535211.000,44134712.000,6266577.337,687.651336,725.052879,5680.568,1.386857361,1.315316916,3.600482
AES-XTS-manual-sequential,encrypt,4096,33554432,5,90915079.200,90140181.000,3542280.049,351.976815,355.002615,11098.032,2.709480500,2.686386734,7.034229
AES-XTS-manual-sequential,decrypt,4096,33554432,5,83625959.000,83608363.000,2557908.682,382.656299,382.736832,10208.247,2.492247790,2.491723388,6.470229
AES-XTS-OpenSSL-full-sector,encrypt,4096,33554432,5,9917595.800,9637710.000,454585.586,3226.588444,3320.290816,1210.644,0.295567387,0.287226140,0.767351
AES-XTS-OpenSSL-full-sector,decrypt,4096,33554432,5,9336721.000,9343513.000,101511.004,3427.327431,3424.836033,1139.736,0.278255969,0.278458387,0.722401
Ratchet-CTR-AES,encrypt,4096,33554432,5,273124253.000,272685685.000,2308098.820,117.162792,117.351228,33340.363,8.139737040,8.126666695,21.131926
Ratchet-CTR-AES,decrypt,4096,33554432,5,272458957.400,270086435.000,4352461.173,117.448882,118.480589,33259.150,8.119909686,8.049203008,21.080423
Ratchet-CTR-BLAKE3,encrypt,4096,33554432,5,496473745.000,498467365.000,8623113.547,64.454566,64.196780,60604.705,14.796070606,14.855485111,38.412717
Ratchet-CTR-BLAKE3,decrypt,4096,33554432,5,494350542.600,489874266.000,12082619.823,64.731395,65.322884,60345.525,14.732794243,14.599390805,38.248398
Ratchet-CTR-BLAKE2s-256,encrypt,4096,33554432,5,1103682176.000,1104184435.000,3564586.687,28.993854,28.980666,134726.828,32.892292023,32.907260507,85.393010
Ratchet-CTR-BLAKE2s-256,decrypt,4096,33554432,5,1087956695.200,1086628759.000,6550783.725,29.412935,29.448880,132807.214,32.423636174,32.384060591,84.176291
Ratchet-CTR-SHA3-256,encrypt,4096,33554432,5,1616754760.800,1606701982.000,54867052.836,19.792736,19.916575,197357.759,48.183046603,47.883450449,125.089940
Ratchet-CTR-SHA3-256,decrypt,4096,33554432,5,1660138422.200,1674425533.000,45966088.081,19.275501,19.111032,202653.616,49.475980467,49.901769549,128.446551
Ratchet-CTR-SHA-256,encrypt,4096,33554432,5,830280652.200,832373768.000,15830629.819,38.541185,38.444268,101352.619,24.744291669,24.806671381,64.239658
Ratchet-CTR-SHA-256,decrypt,4096,33554432,5,855135668.600,855079406.000,8996070.362,37.420963,37.423425,104386.678,25.485028881,25.483352125,66.162696
Ratchet-CBC-AES,encrypt,4096,33554432,5,265923942.400,261427358.000,9312843.416,120.335159,122.404940,32461.419,7.925151062,7.791142404,20.574818
Ratchet-CBC-AES,decrypt,4096,33554432,5,271565233.600,270773651.000,7334754.745,117.835408,118.179889,33150.053,8.093274641,8.069683641,21.011271
Ratchet-CBC-BLAKE3,encrypt,4096,33554432,5,507143843.200,508002028.000,12324155.719,63.098469,62.991875,61907.207,15.114064312,15.139640212,39.238260
Ratchet-CBC-BLAKE3,decrypt,4096,33554432,5,506228923.800,503229021.000,11536569.460,63.212508,63.589337,61795.523,15.086797589,14.997393519,39.167430
Ratchet-CBC-BLAKE2s-256,encrypt,4096,33554432,5,1136463817.800,1139955130.000,16018875.800,28.157518,28.071280,138728.493,33.869261080,33.973310292,87.929310
Ratchet-CBC-BLAKE2s-256,decrypt,4096,33554432,5,1171400721.200,1174949706.000,16101455.396,27.317723,27.235208,142993.252,34.910461938,35.016229928,90.632393
Ratchet-CBC-SHA3-256,encrypt,4096,33554432,5,1608218248.200,1606778393.000,19590402.577,19.897797,19.915628,196315.704,47.928638703,47.885727674,124.429438
Ratchet-CBC-SHA3-256,decrypt,4096,33554432,5,1640971312.600,1636399826.000,26169221.106,19.500646,19.555123,200313.881,48.904756087,48.768515170,126.963571
Ratchet-CBC-SHA-256,encrypt,4096,33554432,5,860488604.000,851960274.000,21052760.067,37.188174,37.560437,105040.113,25.644558787,25.390394747,66.576864
Ratchet-CBC-SHA-256,decrypt,4096,33554432,5,887814305.200,869735210.000,35170346.118,36.043573,36.792807,108375.770,26.458928144,25.920129120,68.691063
